i,n,fsc,chl,ssc,pe,file
beads6,187302,54924,59572,65535,59531,1_001.fcs
beads6,187882,54930,59578,65535,59538,1_002.fcs
beads6,184928,54918,59590,65535,59537,1_003.fcs
beads1,163838,39021,32202,52591,35310,1_004.fcs
beads1,170031,39020,32208,52599,35308,1_005.fcs
beads1,172929,39036,32224,52582,35306,1_006.fcs
beads6,92378,54976,59639,65535,59601,1_007.fcs
beads1,75385,39041,32206,52579,35304,1_007.fcs
beads6,97399,54998,59695,65535,59637,1_008.fcs
beads1,79097,39048,32235,52593,35314,1_008.fcs
beads6,98414,55002,59664,65535,59619,1_009.fcs
beads1,80359,39059,32209,52562,35308,1_009.fcs
beads1,150925,25054,19781,52677,17364,1umA.fcs
beads1,162824,25061,19813,52688,17371,1umB.fcs
beads1,164929,25073,19838,52705,17384,1umC.fcs
beads3,38246,35235,44855,65535,29951,3umA.fcs
beads3,38914,35245,44867,65535,29960,3umB.fcs
beads3,39057,35254,44860,65535,29972,3umC.fcs
beads6,137995,40840,39228,65535,44267,6umD.fcs
beads6,136885,40846,39220,65535,44301,6umE.fcs
beads6,138307,40849,39232,65535,44313,6umF.fcs
beads1,54093,25072,10813,52645,17434,MixA.fcs
beads6,43398,40867,41720,65535,44327,MixA.fcs
beads3,13282,35256,47117,65535,30009,MixA.fcs
beads1,55066,25071,10819,52640,17427,MixB.fcs
beads3,13262,35256,47115,65535,30014,MixB.fcs
beads6,43788,40870,41721,65535,44327,MixB.fcs
beads1,55311,25075,10826,52649,17433,MixC.fcs
beads6,44357,40873,41732,65535,44340,MixC.fcs
beads3,13575,35259,47125,65535,30022,MixC.fcs
pro,94182,22924,14363,36340,155,Culture1.fcs
syn,37807,30224,22898,42282,21379,Culture1.fcs
beads1,1363,44464,20414,52390,39335,Culture1.fcs
taps,771,59744,55981,61167,1164,Culture1.fcs
pro,96622,22879,14259,36250,155,Culture2.fcs
syn,38204,30152,22818,42220,21240,Culture2.fcs
beads1,1283,44468,20327,52332,39308,Culture2.fcs
taps,787,59784,56017,60931,1177,Culture2.fcs
pro,97253,22834,14218,36201,155,Culture3.fcs
syn,38390,30186,22888,42263,21334,Culture3.fcs
beads1,1236,44444,20361,52367,39328,Culture3.fcs
taps,764,59803,55995,61317,1140,Culture3.fcs
