i,n,fsc,ssc,chl,pe,file
beads0.34,21625,0.008275,0.088418,0.010126,0.003603,Influx_001.fcs
beads1,1038,1,1,1,1,Influx_001.fcs
beads0.40,41880,0.014862,0.106717,0.059046,0.03647,Influx_002.fcs
beads1,2525,1,1,1,1,Influx_002.fcs
beads0.52,18861,0.063454,0.217438,0.059122,0.033113,Influx_003.fcs
beads1,2507,1,1,1,1,Influx_003.fcs
beads0.761,9239,0.459166,0.675148,0.177919,0.110402,Influx_004.fcs
beads1,4529,1,1,1,1,Influx_004.fcs
beads1,6026,1,1,1,1,Influx_005.fcs
beads2.08,2046,1.311075,4.654067,2.919137,1.941601,Influx_005.fcs
beads1,4555,1,1,1,1,Influx_006.fcs
beads3.1,1723,4.035702,11.16398,4.575907,2.962802,Influx_006.fcs
beads1,3180,1,1,1,1,Influx_007.fcs
beads5.5,1926,10.272963,20.547153,62.56403,37.227759,Influx_007.fcs
beads10,2714,24.862182,56.82717,93.465907,53.522144,Influx_008.fcs
beads1,3533,1,1,1,1,Influx_008.fcs
